group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
intial_10_fanal_99,,,,,988464.0,ns,2363
intial_10_fanal_99,,,,,2094694.0,ns,4726
intial_10_fanal_99,,,,,2986220.0,ns,7089
intial_10_fanal_99,,,,,3896139.0,ns,9452
intial_10_fanal_99,,,,,4735171.0,ns,11815
intial_10_fanal_99,,,,,5660666.0,ns,14178
intial_10_fanal_99,,,,,6596194.0,ns,16541
intial_10_fanal_99,,,,,7439193.0,ns,18904
intial_10_fanal_99,,,,,14027386.0,ns,21267
intial_10_fanal_99,,,,,15617955.0,ns,23630
intial_10_fanal_99,,,,,16489400.0,ns,25993
intial_10_fanal_99,,,,,19071063.0,ns,28356
intial_10_fanal_99,,,,,13549310.0,ns,30719
intial_10_fanal_99,,,,,13939314.0,ns,33082
intial_10_fanal_99,,,,,15155321.0,ns,35445
intial_10_fanal_99,,,,,20112648.0,ns,37808
intial_10_fanal_99,,,,,16718734.0,ns,40171
intial_10_fanal_99,,,,,17453556.0,ns,42534
intial_10_fanal_99,,,,,19142009.0,ns,44897
intial_10_fanal_99,,,,,19692688.0,ns,47260
intial_10_fanal_99,,,,,20514982.0,ns,49623
intial_10_fanal_99,,,,,21304841.0,ns,51986
intial_10_fanal_99,,,,,21753801.0,ns,54349
intial_10_fanal_99,,,,,22753382.0,ns,56712
intial_10_fanal_99,,,,,23586340.0,ns,59075
intial_10_fanal_99,,,,,24800393.0,ns,61438
intial_10_fanal_99,,,,,25880032.0,ns,63801
intial_10_fanal_99,,,,,26504890.0,ns,66164
intial_10_fanal_99,,,,,27314008.0,ns,68527
intial_10_fanal_99,,,,,28631232.0,ns,70890
intial_10_fanal_99,,,,,30158564.0,ns,73253
intial_10_fanal_99,,,,,30972718.0,ns,75616
intial_10_fanal_99,,,,,32446587.0,ns,77979
intial_10_fanal_99,,,,,32525157.0,ns,80342
intial_10_fanal_99,,,,,34602982.0,ns,82705
intial_10_fanal_99,,,,,39175076.0,ns,85068
intial_10_fanal_99,,,,,35980664.0,ns,87431
intial_10_fanal_99,,,,,37045347.0,ns,89794
intial_10_fanal_99,,,,,41368501.0,ns,92157
intial_10_fanal_99,,,,,38841365.0,ns,94520
intial_10_fanal_99,,,,,39402248.0,ns,96883
intial_10_fanal_99,,,,,41273627.0,ns,99246
intial_10_fanal_99,,,,,41264518.0,ns,101609
intial_10_fanal_99,,,,,42343833.0,ns,103972
intial_10_fanal_99,,,,,45575399.0,ns,106335
intial_10_fanal_99,,,,,44229902.0,ns,108698
intial_10_fanal_99,,,,,45515542.0,ns,111061
intial_10_fanal_99,,,,,53299702.0,ns,113424
intial_10_fanal_99,,,,,48821518.0,ns,115787
intial_10_fanal_99,,,,,47879587.0,ns,118150
intial_10_fanal_99,,,,,49568713.0,ns,120513
intial_10_fanal_99,,,,,50953217.0,ns,122876
intial_10_fanal_99,,,,,52081893.0,ns,125239
intial_10_fanal_99,,,,,50718777.0,ns,127602
intial_10_fanal_99,,,,,52913348.0,ns,129965
intial_10_fanal_99,,,,,54797549.0,ns,132328
intial_10_fanal_99,,,,,63211000.0,ns,134691
intial_10_fanal_99,,,,,57393558.0,ns,137054
intial_10_fanal_99,,,,,57048279.0,ns,139417
intial_10_fanal_99,,,,,60415808.0,ns,141780
intial_10_fanal_99,,,,,59572447.0,ns,144143
intial_10_fanal_99,,,,,60537315.0,ns,146506
intial_10_fanal_99,,,,,61134015.0,ns,148869
intial_10_fanal_99,,,,,61394531.0,ns,151232
intial_10_fanal_99,,,,,68072907.0,ns,153595
intial_10_fanal_99,,,,,63347270.0,ns,155958
intial_10_fanal_99,,,,,64239992.0,ns,158321
intial_10_fanal_99,,,,,66534711.0,ns,160684
intial_10_fanal_99,,,,,67656474.0,ns,163047
intial_10_fanal_99,,,,,66145017.0,ns,165410
intial_10_fanal_99,,,,,67705020.0,ns,167773
intial_10_fanal_99,,,,,71079411.0,ns,170136
intial_10_fanal_99,,,,,71944097.0,ns,172499
intial_10_fanal_99,,,,,70554703.0,ns,174862
intial_10_fanal_99,,,,,73686602.0,ns,177225
intial_10_fanal_99,,,,,78120444.0,ns,179588
intial_10_fanal_99,,,,,73687828.0,ns,181951
intial_10_fanal_99,,,,,75526767.0,ns,184314
intial_10_fanal_99,,,,,74725299.0,ns,186677
intial_10_fanal_99,,,,,78690170.0,ns,189040
intial_10_fanal_99,,,,,79668871.0,ns,191403
intial_10_fanal_99,,,,,80023051.0,ns,193766
intial_10_fanal_99,,,,,82181377.0,ns,196129
intial_10_fanal_99,,,,,77253415.0,ns,198492
intial_10_fanal_99,,,,,82088031.0,ns,200855
intial_10_fanal_99,,,,,82016387.0,ns,203218
intial_10_fanal_99,,,,,92381737.0,ns,205581
intial_10_fanal_99,,,,,90586328.0,ns,207944
intial_10_fanal_99,,,,,86713843.0,ns,210307
intial_10_fanal_99,,,,,89331221.0,ns,212670
intial_10_fanal_99,,,,,92254708.0,ns,215033
intial_10_fanal_99,,,,,89348708.0,ns,217396
intial_10_fanal_99,,,,,90627467.0,ns,219759
intial_10_fanal_99,,,,,89040017.0,ns,222122
intial_10_fanal_99,,,,,91958443.0,ns,224485
intial_10_fanal_99,,,,,91685280.0,ns,226848
intial_10_fanal_99,,,,,93613851.0,ns,229211
intial_10_fanal_99,,,,,96135253.0,ns,231574
intial_10_fanal_99,,,,,117932163.0,ns,233937
intial_10_fanal_99,,,,,96077611.0,ns,236300
